cidade,uf,servico,valor_mensal,capacidade_mb,vigencia_meses,ip_fixo,interface
Juazeiro Do Norte,CE,IP DEDICADO,500.0,52,36,29,FIBRA
Belo Horizonte/,MG,L2L LAST MILE,366.6,52,36,,FIBRA
Mogi Guacu / Sp (Mgu),SP,IP DEDICADO,720.0,100,0,0,FIBRA
Eloi Mendes / Mg (Elm),MG,IP DEDICADO,300.0,10,0,0,FIBRA
Santos Dumont / Mg (Snd),MG,IP DEDICADO,0.0,100,0,0,FIBRA
Bayeux,PB,IP DEDICADO,0.0,100,36,29,FIBRA
Contagem,MG,IP DEDICADO,650.0,52,12,/32,FIBRA
Londrina,PR,IP DEDICADO,435.71,50,12,32,FIBRA
Itajaa,SC,IP DEDICADO,500.0,50,12,32,FIBRA
Joao Pessoa,PB,IP DEDICADO,500.0,50,12,32,FIBRA
Ijui,RS,L2L  LAST MILE,149.9,50,12,,FIBRA
Recife,PE,IP DEDICADO,900.0,210,36,/29,FIBRA
Recife,PE,IP DEDICADO,800.0,110,36,29,FIBRA
Curvelo / Mg (Cuv),MG,IP BANDA LARGA,89.9,200,0,0,FIBRA
Natal,RN,IP BANDA LARGA,99.99,630,60,,FIBRA
Novo Hamburgo / Rs (Nho),RS,L2L LAST MILE,243.0,200,0,30,FIBRA
Mantena3Polis,ES,IP DEDICADO,450.0,100,36,30,FIBRA
Campo Novo Do Parecis,MT,IP BANDA LARGA,119.9,200,36,/32,FIBRA
Sao Jose Do Rio Claro,MT,IP BANDA LARGA,119.9,200,36,32,FIBRA
Recife,PE,IP DEDICADO,900.0,100,36,/29,FIBRA
Recife,PE,IP DEDICADO,900.0,100,36,/29,FIBRA
Araguaina / To (Arn),TO,IP BANDA LARGA,180.0,400,0,0,FIBRA
Araguaina / To (Arn),TO,IP BANDA LARGA,180.0,400,0,0,FIBRA
Conselheiro Pena / Mg (Csn),MG,IP BANDA LARGA,300.0,100,0,0,FIBRA
Recife,PE,IP DEDICADO,900.0,100,36,/29,FIBRA
Recife,PE,IP DEDICADO,900.0,100,36,/29,FIBRA
Petrolina,PE,IP DEDICADO,800.0,110,36,/29,FIBRA
Diamantino / Mt (Dio),MT,IP DEDICADO,300.0,10,0,30,FIBRA
Bauru / Sp (Bru),SP,IP DEDICADO,0.0,500,0,0,FIBRA
Salvador,BA,IP DEDICADO,299.0,10,60,,FIBRA
Sao Paulo,SP,IP BANDA LARGA,125.0,50,60,,FIBRA
Sao Paulo,SP,IP BANDA LARGA,125.0,50,60,,FIBRA
Sao Paulo,SP,IP BANDA LARGA,125.0,50,60,,FIBRA
Galia,SP,IP BANDA LARGA,125.0,50,60,,FIBRA
Conchal,SP,IP BANDA LARGA,125.0,50,60,,FIBRA
Sao Paulo,SP,IP BANDA LARGA,125.0,50,60,,FIBRA
Sao Paulo,SP,IP BANDA LARGA,125.0,50,60,,FIBRA
