Nome Provedor,IP Fixo,Valor Mensal (C/IMP) (R$),Serviço,Cliente Final,Vigência em (Meses),Cidade A,UF A,Interface,Capacidade (MB)
CST CERENTINI SOLUCOES EM TECNOLOGIA E TRANSMISSAO DE DADOS LTDA-ME,30,600.00,IP DEDICADO,UNIDADE DE ATENDIMENTO FAXINAL DO SOTURNO,36,FAXINAL DO SOTURNO,RS,FIBRA,50
FORTE TELECOM SERVICOS DE COMUNICACAO MULTIMIDIA EIRELI,/30,600.00,IP DEDICADO,DIRECIONAL ENGENHARIA,12,Manaus,AM,FIBRA,100
EOS TELECOM LTDA,30,590.00,IP DEDICADO,JSL - AMERICANA,0,AMERICANA / SP (AMR),SP,RÁDIO,10
UNIQUELINK OPERADORA MVNO LTDA,n/a,99.99,IP BANDA LARGA,DIRECIONAL,12,Osasco,SP,FIBRA,400
M H DOS SANTOS MELO,29,750.00,IP DEDICADO,CONCOURSE TELECOMUNICACOES BRASIL LTDA.,36,Rio Largo,AL,FIBRA,100
M H DOS SANTOS MELO,29,1.300.00,IP DEDICADO,CONCOURSE TELECOMUNICACOES BRASIL LTDA.,36,Rio Largo,AL,FIBRA,100
HI TECNOLOGIA LTDA,0,250.00,IP BANDA LARGA,OI SPGG,0,ENCRUZILHADA DO SUL / RS (ESL),RS,FIBRA,200
ACESSOLINE TELECOMUNICACOES LTDA,n/a,0.01,L2L LAST MILE,CONCOURSE TELECOMUNICACOES BRASIL LTDA.,36,Ponta Porã,MS,FIBRA,100
SCM EVOLUTT CONNECT LTDA,N/A,350.00,L2L LAST MILE,CONCOURSE TELECOMUNICACOES BRASIL LTDA.,36,Ponta Porã,MS,FIBRA,100
RDF INFORMATICA LTDA,0,200.00,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,GUARANI / MG (GNI),MG,FIBRA,100
CLARO S/A,n/a,79.90,IP BANDA LARGA,DIRECIONAL,12,São Paulo,SP,FIBRA,400
BRASIL DIGITAL TELECOMUNICACOES LTDA,N/A,399.00,L2L LAST MILE,VETORIAL,12,Porto Alegre,RS,FIBRA,100
RS NET LTDA,0,130.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,CAMBUI / MG (CBI),MG,FIBRA,12
CONNECTION TELECOM LTDA,/30,720.00,IP DEDICADO,SICREDI,36,Sabará,MG,FIBRA,52
NETWORLD TELECOMUNICACÕES DO BRASIL LTDA,30,500.00,IP DEDICADO,DIRECIONAL,12,Brasília,DF,FIBRA,25
ACESSOLINE TELECOMUNICACOES LTDA,N/A,0.01,L2L LAST MILE,AUTOPARK,36,Curitiba,PR,FIBRA,300
ACESSOLINE TELECOMUNICACOES LTDA,N/A,0.01,L2L LAST MILE,AUTOPARK,36,Curitiba,PR,FIBRA,300
ACESSOLINE TELECOMUNICACOES LTDA,N/A,0.01,L2L LAST MILE,AUTOPARK,36,Curitiba,PR,FIBRA,300
ACESSOLINE TELECOMUNICACOES LTDA,N/A,0.01,L2L LAST MILE,AUTOPARK,36,Curitiba,PR,FIBRA,300
